Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Adult Census Income,None,LS Squared Gini - LS Chi Square,-121.37554256381466,19,1.0,-120.36511522418188,19,1.0,330.9242962964866,19,0.0
Adult Census Income,None,LS Squared Gini - PC-ext,-87.20597184680499,19,1.0,-87.85067564833896,19,1.0,417.86555246208354,19,0.0
Adult Census Income,None,LS Squared Gini - Twoing,-76.63011284151808,19,1.0,-76.8627560549268,19,1.0,338.28023315179917,19,0.0
Adult Census Income,None,LS Chi Square - PC-ext,-1.2514842283872845,19,0.88702621077,-0.8908128817626717,19,0.807914271128,24.703274290887087,19,3.33066907388e-16
Adult Census Income,None,LS Chi Square - Twoing,2.895329093594765,19,0.00463668052004,3.022803009757595,19,0.00349949046632,5.507957867510015,19,1.29482288146e-05
Adult Census Income,None,PC-ext - Twoing,4.210345130223369,19,0.000236998768683,3.98319699424434,19,0.000398086334908,-18.179956135307386,19,1.0
San Francisco Crime 15 classes,None,LS Squared Gini - LS Chi Square,-39.94075791193884,19,1.0,-39.88676954539461,19,1.0,391.08814090043956,19,0.0
San Francisco Crime 15 classes,None,LS Squared Gini - PC-ext,-35.600318931268056,19,1.0,-35.569173998100254,19,1.0,538.879368696582,19,0.0
San Francisco Crime 15 classes,None,LS Squared Gini - Twoing,3.172663824362057,19,0.00250594298429,3.175076151601081,19,0.00249244698037,278.6644651171809,19,0.0
San Francisco Crime 15 classes,None,LS Chi Square - PC-ext,0.3922955458616833,19,0.349602874179,0.40022651858086217,19,0.34672693549,-4.942718436996488,19,0.999954819956
San Francisco Crime 15 classes,None,LS Chi Square - Twoing,28.61669548758395,19,0.0,28.59481401540629,19,0.0,-130.27906197501014,19,1.0
San Francisco Crime 15 classes,None,PC-ext - Twoing,26.751121148237402,19,1.11022302463e-16,26.68336127938807,19,1.11022302463e-16,-145.37993213269039,19,1.0
KDD98 Multiclass 5,None,LS Squared Gini - Twoing,-8.471357683077988,19,0.999999964561,-2.701135723006949,19,0.992922720601,43.79847254894816,19,0.0
KDD98 Multiclass 5,None,LS Squared Gini - LS Chi Square,-15.306583902148988,19,0.999999999998,-15.965954140277528,19,0.999999999999,64.6182384796061,19,0.0
KDD98 Multiclass 5,None,Twoing - LS Chi Square,-11.317331386563644,19,0.999999999654,-16.174843388994212,19,0.999999999999,27.81842012157376,19,0.0
Shelter Animal Outcomes,None,LS Squared Gini - LS Chi Square,-39.21638474731571,19,1.0,-34.11317358263598,19,1.0,47.30835964533437,19,0.0
